Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																				
189		3.786806		3.78675		40.17767		11.79678		13.4079		22.70716		22.71119		78.9277		52.90293		54		7.593538		39.9647		40		22.7192		99.47628		98.3303		56.60067		52.81419		52.72097		62.58417		35.29356		35.3		98.28855		48.51907		48.51		52.89136
192		3.786432		3.78675		40.15813		12.45517		13.4079		22.74837		22.783		78.95834		52.93549		54		7.677975		40.01735		40		22.75081		98.81497		98.03873		56.65208		52.83909		52.80035		62.04205		35.31057		35.3		98.53319		48.50591		48.51		52.75972
195		3.785021		3.78675		40.08685		11.67502		13.4079		22.7297		22.75323		78.92878		52.93724		54		7.673562		39.96533		40		22.71958		99.51603		98.48525		56.55127		52.81846		52.82577		61.58347		35.29487		35.3		98.30641		48.4971		48.51		52.67158
198		3.78575		3.78675		40.12311		12.6187		13.4079		22.77181		22.76569		78.89319		52.95669		54		7.720264		39.98052		40		22.72868		98.69511		98.58451		56.74115		52.77286		52.9036		60.34858		35.30937		35.3		98.51432		48.50533		48.51		52.75392
201		3.787302		3.78675		40.20048		11.54795		13.4079		22.73558		22.70393		78.85872		52.90009		54		7.54776		39.951		40		22.71093		99.63493		98.4808		56.44467		52.76886		52.77047		61.63713		35.29397		35.3		98.29132		48.50778		48.51		52.77851
204		3.786001		3.78675		40.13475		12.81146		13.4079		22.73823		22.73983		78.88478		52.97206		54		7.745572		39.95853		40		22.71544		98.43336		98.56108		56.72712		52.78278		52.8092		61.38555		35.28859		35.3		98.21284		48.51942		48.51		52.89495
207		3.784426		3.78675		40.05508		11.18784		13.4079		22.77359		22.70187		78.80562		52.94169		54		7.648721		39.99898		40		22.73969		99.8484		98.44069		56.30868		52.83466		52.78508		62.1444		35.30642		35.3		98.46843		48.50542		48.51		52.75502
210		3.784974		3.78675		40.08163		13.23617		13.4079		22.77834		22.71957		78.81811		52.96042		54		7.693135		40.01628		40		22.75005		98.05892		98.18137		56.64931		52.7893		52.91438		60.39671		35.29943		35.3		98.3648		48.51936		48.51		52.89445
213		3.786421		3.78675		40.15359		10.73796		13.4079		22.75396		22.70004		78.81631		52.88092		54		7.454554		39.97793		40		22.72701		100.2224		98.47082		56.1554		52.84248		52.81097		61.96074		35.29404		35.3		98.28756		48.50011		48.51		52.70207
216		3.784941		3.78675		40.07877		13.81284		13.4079		22.73076		22.70866		78.84259		52.83417		54		7.310401		39.98047		40		22.7285		97.52793		98.23435		56.73102		52.85086		52.90876		61.06473		35.29984		35.3		98.36946		48.51404		48.51		52.84145
