Trend data for Model:	
Model time base:		3
Plot duration (secs):		1770

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																				
159		3.786544		3.78675		40.17168		11.96912		11.99242		22.95101		23.02193		79.57647		54.00344		54		11.99242		40.0171		40		23.01989		98.39562		98.30406		54.95899		52.83276		52.66708		63.33426		35.27963		35.3		97.97861		48.51021		48.51		52.8067
162		3.787066		3.78675		40.1981		11.94106		11.86539		23.02693		23.04193		79.53957		53.95939		54		11.86539		39.99908		40		23.00909		98.20399		98.26393		54.99559		52.82598		52.81841		61.75365		35.30626		35.3		98.36165		48.51493		48.51		52.85388
165		3.785153		3.78675		40.10236		12.06081		11.9108		23.01629		23.01917		79.53236		53.97512		54		11.9108		40.0196		40		23.02145		98.16849		98.29868		55.01547		52.80662		52.63196		63.42696		35.31027		35.3		98.42143		48.48806		48.51		52.58517
168		3.788034		3.78675		40.24644		11.97803		12.17638		23.02795		23.02039		79.52564		54.06736		54		12.17638		40.0114		40		23.01656		98.24882		98.36954		55.01117		52.79785		52.78138		61.8471		35.29845		35.3		98.2502		48.50801		48.51		52.78456
171		3.785702		3.78675		40.12986		11.93183		12.02789		23.03173		23.01736		79.52178		54.01584		54		12.02789		40.03617		40		23.03146		98.33071		98.33055		54.98203		52.82105		52.7841		62.05151		35.30476		35.3		98.34164		48.49968		48.51		52.70126
174		3.786498		3.78675		40.16958		12.00929		11.97893		22.97785		22.99367		79.54263		53.99884		54		11.97893		40.074		40		23.05417		98.37041		98.39419		54.99108		52.71977		52.88859		59.9937		35.27505		35.3		97.91474		48.51556		48.51		52.86004
177		3.787524		3.78675		40.22086		11.90075		11.96817		23.00392		23.03537		79.55322		53.99509		54		11.96817		40.02101		40		23.02241		98.23146		98.25359		54.99135		52.83458		52.80115		62.01568		35.32713		35.3		98.66505		48.50649		48.51		52.76929
180		3.787518		3.78675		40.22063		11.91104		12.00406		23.02283		23.03944		79.54371		54.00756		54		12.00406		40.0002		40		23.00996		98.4208		97.92336		54.86446		52.78		52.8334		61.14788		35.29539		35.3		98.20867		48.51172		48.51		52.82161
183		3.787609		3.78675		40.2252		11.87556		12.04104		23.01267		23.0115		79.5322		54.0205		54		12.04104		40.06211		40		23.04715		98.32176		98.24006		54.96669		52.80728		52.81649		61.58943		35.29696		35.3		98.23038		48.52404		48.51		52.94479
186		3.787305		3.78675		40.21012		11.95826		11.86366		23.05724		23.06049		79.53689		53.95889		54		11.86366		40.0505		40		23.04026		98.24844		97.98726		54.92223		52.78157		52.61651		63.33353		35.29329		35.3		98.17822		48.50377		48.51		52.74205
