*Alarm tag	drawing
SCP_3D2	BETA_PERMISSIVES
SCP_3D2	BETA_PERMISSIVES
SCP_3D2	BETA_PERMISSIVES
SCP_3D2	BETA_PERMISSIVES
SCP_3D2	BETA_PERMISSIVES
SCP_6D2	BETA_PERMISSIVES
SCP_6D2	BETA_PERMISSIVES
SCP_6D2	BETA_PERMISSIVES
SCP_6D2	BETA_PERMISSIVES
SCP_6D2	BETA_PERMISSIVES
SCP_6D2	BETA_PERMISSIVES
SCP_7D2	BETA_PERMISSIVES
SCP_7D2	BETA_PERMISSIVES
SCP_7D2	BETA_PERMISSIVES
SCP_7D2	BETA_PERMISSIVES
SCP_7D2	BETA_PERMISSIVES
SCP_7D2	BETA_PERMISSIVES
SCP_8D2	BETA_PERMISSIVES
SCP_8D2	BETA_PERMISSIVES
SCP_8D2	BETA_PERMISSIVES
SCP_8D2	BETA_PERMISSIVES
SCP_8D2	BETA_PERMISSIVES
SCP_8D2	BETA_PERMISSIVES
SCP_14D2	BETA_PERMISSIVES
SCP_14D2	BETA_PERMISSIVES
SCP_14D2	BETA_PERMISSIVES
SCP_14D2	BETA_PERMISSIVES
SCP_14D2	BETA_PERMISSIVES
SCP_14D2	BETA_PERMISSIVES
SCP_15D2	BETA_PERMISSIVES
SCP_15D2	BETA_PERMISSIVES
SCP_15D2	BETA_PERMISSIVES
SCP_15D2	BETA_PERMISSIVES
SCP_15D2	BETA_PERMISSIVES
SCP_15D2	BETA_PERMISSIVES
17_XS1255	BETA_PERMISSIVES
17_XS1255	BETA_PERMISSIVES
17_XS1255	BETA_PERMISSIVES
18_XI1219	BETA_PERMISSIVES
18_XI1219	BETA_PERMISSIVES
18_XI1219	BETA_PERMISSIVES
18_XI1219	BETA_PERMISSIVES
18_XI1219	BETA_PERMISSIVES
18_XI1219	BETA_PERMISSIVES
SSP_6D2	BETA_PERMISSIVES
SSP_6D2	BETA_PERMISSIVES
SSP_6D2	BETA_PERMISSIVES
SSP_6D2	BETA_PERMISSIVES
SSP_6D2	BETA_PERMISSIVES
SSP_6D2	BETA_PERMISSIVES
SCP_12D2	BETA_PERMISSIVES
SCP_12D2	BETA_PERMISSIVES
SCP_12D2	BETA_PERMISSIVES
SCP_12D2	BETA_PERMISSIVES
SCP_12D2	BETA_PERMISSIVES
SCP_12D2	BETA_PERMISSIVES
SCP_13D2	BETA_PERMISSIVES
SCP_13D2	BETA_PERMISSIVES
SCP_13D2	BETA_PERMISSIVES
SCP_13D2	BETA_PERMISSIVES
SCP_13D2	BETA_PERMISSIVES
SCP_13D2	BETA_PERMISSIVES
SCP_11D2	BETA_PERMISSIVES
SCP_11D2	BETA_PERMISSIVES
SCP_11D2	BETA_PERMISSIVES
SCP_11D2	BETA_PERMISSIVES
SCP_11D2	BETA_PERMISSIVES
SCP_11D2	BETA_PERMISSIVES
SCP_2D2	BETA_PERMISSIVES
SCP_2D2	BETA_PERMISSIVES
SCP_2D2	BETA_PERMISSIVES
SCP_2D2	BETA_PERMISSIVES
SCP_2D2	BETA_PERMISSIVES
SCP_2D2	BETA_PERMISSIVES
SSP_4D2	BETA_PERMISSIVES
SSP_4D2	BETA_PERMISSIVES
SSP_4D2	BETA_PERMISSIVES
SSP_4D2	BETA_PERMISSIVES
SSP_4D2	BETA_PERMISSIVES
SSP_4D2	BETA_PERMISSIVES
SSP_5D2	BETA_PERMISSIVES
SSP_5D2	BETA_PERMISSIVES
SSP_5D2	BETA_PERMISSIVES
SSP_5D2	BETA_PERMISSIVES
SSP_5D2	BETA_PERMISSIVES
SSP_5D2	BETA_PERMISSIVES
MCS_D2	BETA_PERMISSIVES
MCS_D2	BETA_PERMISSIVES
MCS_D2	BETA_PERMISSIVES
MCS_D2	BETA_PERMISSIVES
MCS_D2	BETA_PERMISSIVES
MCS_D2	BETA_PERMISSIVES
SEL_CONTROLD2	BETA_PERMISSIVES
SEL_CONTROLD2	BETA_PERMISSIVES
SEL_CONTROLD2	BETA_PERMISSIVES
SEL_CONTROLD2	BETA_PERMISSIVES
SEL_CONTROLD2	BETA_PERMISSIVES
SEL_CONTROLD2	BETA_PERMISSIVES
SCP_4D2	BETA_PERMISSIVES
SCP_4D2	BETA_PERMISSIVES
SCP_4D2	BETA_PERMISSIVES
SCP_4D2	BETA_PERMISSIVES
SCP_4D2	BETA_PERMISSIVES
SCP_4D2	BETA_PERMISSIVES
18_TT0503	WELL_D5_PROD
18_TT0503	WELL_D5_PROD
18_TT0503	WELL_D5_PROD
18_PT0503	WELL_D5_PROD
18_PT0503	WELL_D5_PROD
18_PT0503	WELL_D5_PROD
18_TT0500	WELL_D5_PROD
18_TT0500	WELL_D5_PROD
18_TT0500	WELL_D5_PROD
18_PT0500	WELL_D5_PROD
18_PT0500	WELL_D5_PROD
18_PT0500	WELL_D5_PROD
