Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
1504		0.5995723		0.6		0.239745		0.7992242		0.8		0.6591921
1512		0.5995598		0.6		0.23958		0.8005478		0.8		0.667144
1520		0.599094		0.6		0.2342772		0.8025003		0.8		0.6795223
1528		0.6004487		0.6		0.2499419		0.7993103		0.8		0.660646
1536		0.6004774		0.6		0.2503519		0.8006653		0.8		0.6688592
1544		0.6010554		0.6		0.2569733		0.7994196		0.8		0.6611323
1552		0.6011251		0.6		0.2578495		0.80141		0.8		0.673049
1560		0.5996446		0.6		0.2406063		0.8010091		0.8		0.6707097
1568		0.5999205		0.6		0.2437561		0.8004979		0.8		0.667948
1576		0.6000099		0.6		0.2449322		0.8017786		0.8		0.67564
1584		0.5992524		0.6		0.2362279		0.7970558		0.8		0.6473077
1592		0.5996982		0.6		0.2412705		0.7995252		0.8		0.6618891
1600		0.5997686		0.6		0.2421851		0.7990744		0.8		0.6590325
1608		0.6008562		0.6		0.2547236		0.7993822		0.8		0.6607541
1616		0.6003496		0.6		0.2488159		0.8002422		0.8		0.6656898
1624		0.6002542		0.6		0.2476256		0.7998289		0.8		0.6633038
1632		0.600589		0.6		0.2515112		0.8000228		0.8		0.6647574
1640		0.6008929		0.6		0.2548871		0.8000786		0.8		0.6651429
1648		0.5988173		0.6		0.2309752		0.7993958		0.8		0.6607694
1656		0.5990602		0.6		0.2338068		0.8016159		0.8		0.6742855
1664		0.5995213		0.6		0.2391356		0.8017781		0.8		0.67559
1672		0.599597		0.6		0.2400157		0.8003612		0.8		0.6673755
1680		0.6007603		0.6		0.253506		0.8008729		0.8		0.670887
1688		0.5999295		0.6		0.2439028		0.7975947		0.8		0.6505777
